"Post Count","Category Page URL","Posts","Description","ID","Label","Translation ID","Slug","Category Page Slug","Cover Image","Language"
0,"/blog/categories/défense-des-élus",,,"6a4e6175ea552fb7974ddd43","Défense des élus",,"défense-des-élus","/categories/défense-des-élus",,"fr"
5,"/blog/categories/divorce","[""6798fab6ad3ab036f477e5d5"",""6798fab6cf95919a363fb555"",""69ae9dc4de5ad9153e0a7c7b"",""69dfa59a47c3def1ffefed31"",""6a089fb8ea733de5ffb6d694""]","Les affaires traitées par le cabinet concernant des divorces amiables ou contentieux.","69dfa8a26cb8859997f8d413","Divorce","4090512f-0d16-494e-b13a-a0e8e0b152a6","divorce","/categories/divorce","wix:image://v1/nsplsh_24a9589cdc6a4b1f87be79dd7a10099d~mv2.jpg/nsplsh_24a9589cdc6a4b1f87be79dd7a10099d~mv2.jpg#originWidth=4833&originHeight=3222","fr"
56,"/blog/categories/ressources-et-notions-juridiques","[""67db2c5a5a09f785759f5c6f"",""67db3dfb2fa740fa81a6b64a"",""67dbd4698b4ff7dace5388d6"",""67ddc163842fb3d6c120d49a"",""67e0357b81ea109632468493"",""67e57a6889f652c76e8c4fb5"",""67e57df9fe36f5984324eb1a"",""67e67f1ff96b48cc2d17438a"",""67e6c23b8ac71c7fa6c69140"",""67e6caf1fe36f5984328fc6c"",""67e6d26e8ac71c7fa6c6c33a"",""67e7257c89f652c76e918cd2"",""67ea4899f96b48cc2d228e70"",""67ea5442a8116191c387459f"",""67eadcbf89f652c76e9c90a5"",""67ebda2c030dd98374a2eff1"",""67ec177bab3ef992a3db7421"",""67ec49b0f9329bec87aa223f"",""67ed621e9fed29845b3f5056"",""67ed6acb9fed29845b3f74fe"",""67ee7f54cbac1441ac35ec6b"",""67f2e19b946c1316427031c8"",""67f3f69635b34a65d26980bb"",""67f4d78b2dbeaa202d715ef9"",""67f4e031aaf502ad8a91a6ee"",""67f4ea0c2dbeaa202d71aba0"",""67f6339baaf502ad8a97064d"",""67f74b9cb789c928e0464fb7"",""67faced06eaf2756d731a4c2"",""67fd1954d2b5eeef5fc4906d"",""67fd1e16c9ecd4484144388c"",""67fd2092c9ecd448414440fc"",""681db4bdb4ade2ddbb9b10f1"",""68794307092f8fbdfb9eed03"",""68794e0ad4f2a7b993e26e9e"",""68795332036729d520b3eca7"",""68828e106ab2534c7bffbca3"",""69187b33d87a8b8976428a35"",""691cd637972cbe45f9013cce"",""691d8fbcf554707bcb4286b9"",""691dc0b4f554707bcb42f84f"",""6993599d7fc679f647fd5672"",""69946991159d7fac96443b44"",""699724cdb8ed19d283733bd2"",""699881fdd0665d05ef53b75f"",""69989366f63bd550f09f5647"",""69ae9dc4de5ad9153e0a7c7b"",""6a01c2e30d21360dca451be2"",""6a0240a295a19670dec1ddc8"",""6a0306a868a3e7adcb12699c"",""6a044bd668a3e7adcb14fa1f"",""6a06ed17cc84e7d46b68d2ae"",""6a09b693df43effc8ce1f470"",""6a1d6a73750a0d73371651eb"",""6a2008393473cc62ac56b9b3"",""6a317193a3667807a6579eed""]","Notre Cabinet vous apporte un éclairage simple et précis sur les questions juridiques les plus courantes. Découvrez nos ressources et notions juridiques.","67db2299545b100e876895bd","Ressources et notions juridiques","2384510e-25b0-4734-95fc-05eaa81cb731","ressources-et-notions-juridiques","/categories/ressources-et-notions-juridiques","wix:image://v1/nsplsh_133ef3b568804bd6ac3cf92bc20e00fd~mv2.jpg/nsplsh_133ef3b568804bd6ac3cf92bc20e00fd~mv2.jpg#originWidth=5472&originHeight=3648","fr"
84,"/blog/categories/médias","[""6798c5824b4f21d5ea0cfe82"",""6798c63466e76ecb19f627d5"",""6798df6d9981b29b293b3b5c"",""6798dfff66e76ecb19f6770b"",""6798e5b29981b29b293b4d05"",""6798e91a66e76ecb19f692bf"",""6798ed7566e76ecb19f6a091"",""6798edb64b4f21d5ea0d79df"",""6798ede89981b29b293b67ab"",""6798ef0e6c6675f2ec0ddb3a"",""6798f528f1a734666cb5b991"",""6798f538016da50934072873"",""6798f53d3abb928033821a53"",""6798f5c32542160d5aa6298a"",""6798f5fdf1a734666cb5bc3e"",""6798f623f1a734666cb5bcaf"",""6798f69c2542160d5aa62c4c"",""6798f6a3016da50934072cbb"",""6798f6a6016da50934072cc4"",""6798f724f1a734666cb5bf53"",""6798f7fd016da5093407309d"",""6798f80b6c6675f2ec0df585"",""6798f826c85f5c1f20f69605"",""6798f8672542160d5aa63174"",""6798f86ac85f5c1f20f696d4"",""6798f86b9981b29b293b8636"",""6798f86d016da5093407321a"",""6798f8c7c85f5c1f20f6981a"",""6798f8cc016da50934073371"",""6798f8e26c6675f2ec0df869"",""6798f92b9981b29b293b888e"",""6798f9414b4f21d5ea0d9c03"",""6798f96e016da5093407352e"",""6798f974cf95919a363fb1e9"",""6798f9792542160d5aa6351a"",""6798f9d8016da50934073640"",""6798f9e34b4f21d5ea0d9db8"",""6798f9e44b4f21d5ea0d9dbb"",""6798fa0c3abb9280338228b6"",""6798fa114b4f21d5ea0d9e33"",""6798fa50c85f5c1f20f69c5b"",""6798faca9981b29b293b8cc2"",""6798faff2542160d5aa6393a"",""6798fb033abb928033822b59"",""6798fb0b016da5093407396d"",""67dc630fa412eb0302e58eae"",""67dd129b05013e1c5ab02e80"",""67eea8258ed0c5fb61136a00"",""67f6339baaf502ad8a97064d"",""681a0a198f4ddaefca7997b8"",""681a11048f4ddaefca79ada2"",""681a17c3063de19bc6c22dc3"",""68445e15856d937d0f544477"",""6853bc7ba3f6bfa226198276"",""686d159646cb57c6c18c0bda"",""686f6f96ac041791c783acbc"",""68769e7a32c2554b5324c03d"",""6883f9c9ec4f2b3188a293d2"",""68aedcaa6a521f5a583ff0ea"",""68b0c6e1d6f73cd0caa89307"",""68d0f37a1eeb6329b1dec37d"",""68dede2a011b75dd1ce0f414"",""68dee76eb64591934f024578"",""68deee2514943fa9110feb7a"",""68def0a43d4aa73574efeda2"",""68def317011b75dd1ce1229a"",""68fb4d75a51f8a929286fa31"",""691d8fbcf554707bcb4286b9"",""692da4edbdf3aa731710337a"",""6962845e235749548015893e"",""6970a11154e2da65624a23e7"",""6970a238144d5c2963be064b"",""698d98ab552ae68ac3dcc763"",""69934698cf429c4fcb4c7d66"",""699357f1d535f147020976cc"",""699499d0159d7fac9644c0ce"",""69cf76d5f7044e6cf7aa9d39"",""6a058a88984b40cafc26d9d9"",""6a0c29ba2fd8b3b6969885b5"",""6a1982a62cf7d1d449f1d323"",""6a296e8cf8e7e84c72bf92a1"",""6a2bde9944c7bef1d02d6092"",""6a2be615418318a8f7e1410f"",""6a526fc05c421b82021d151d""]","Régulièrement engagé dans des affaires à dimension nationale et régionale, notre Cabinet est amené à intervenir dans des dossiers relayés par la presse écrite et audiovisuelle ; cette rubrique rassemble les principales affaires ayant fait l’objet d’une couverture médiatique.","67992c684011366b8aea630b","Médias","12c33301-c4e4-4cc7-8f8d-188f46cf4588","médias","/categories/médias","wix:image://v1/d05c9e_81470a2f937b4f1cb979a1b352e98ee3~mv2.avif/d05c9e_81470a2f937b4f1cb979a1b352e98ee3~mv2.avif#originWidth=960&originHeight=960","fr"
9,"/blog/categories/droit-des-assurances","[""6798d7604b4f21d5ea0d353b"",""6798f5324b4f21d5ea0d8fa5"",""6798f8212542160d5aa63095"",""6798fa2dc85f5c1f20f69be8"",""6798fad5016da509340738d5"",""6864f643251462c0b8f8cece"",""68d55d9d33046323d15b7c1a"",""6945799466bb3987f68ab480"",""6a317193a3667807a6579eed""]","Plongez dans l’actualité du droit des assurances avec le Cabinet Julien Plouton, à Bordeaux. Défense des assurés, sinistres majeurs, clauses abusives, vices cachés ou exclusions injustifiées : découvrez nos analyses et actions. Bénéficiez de notre expertise pour maximiser vos indemnisations, garantir la conformité de vos contrats, et agir face aux litiges en assurance. Particuliers et professionnels, nous vous accompagnons avec rigueur et efficacité.","6798d23a003803362e6d9e1f","Droit des assurances",,"droit-des-assurances","/categories/droit-des-assurances","https://static.wixstatic.com/media/d05c9e_6593e840f39c42f49c2fded0528a62e4~mv2.jpg","fr"
13,"/blog/categories/droit-de-la-famille","[""6798f724f1a734666cb5bf53"",""6798fab6ad3ab036f477e5d5"",""6798fab6cf95919a363fb555"",""6798fb042542160d5aa6394a"",""684465b37753b84dfa6bf0e2"",""6849930576f1453e1b36211d"",""685478e1420332a4a3bc142e"",""68b574da51de103473a7726f"",""68bb4aaa4c40c4b0143067a4"",""68d0f37a1eeb6329b1dec37d"",""6995a3da48e1ffd8ef79a2ef"",""69ccc442011a766e7169d92f"",""69dfa59a47c3def1ffefed31""]","Explorez l’actualité du droit de la famille avec le Cabinet Julien Plouton à Bordeaux. Divorce amiable ou contentieux, partage des biens, garde des enfants, pension alimentaire ou violences intrafamiliales, découvrez nos analyses et conseils. Suivez les évolutions légales et nos interventions pour protéger vos droits et accompagner vos démarches familiales, toujours avec expertise, humanité et réactivité.","6798d1ff003803362e6d9e1a","Droit de la famille",,"droit-de-la-famille","/categories/droit-de-la-famille","https://static.wixstatic.com/media/d05c9e_b0a3c78cd4c447f8b7ab0ecdd054c039~mv2.jpg","fr"
12,"/blog/categories/accidents-de-la-vie-courante","[""6798ed7866e76ecb19f6a0a0"",""6798f1ec016da50934071f3b"",""6798f27566e76ecb19f6afbf"",""6798f59b6c6675f2ec0dee43"",""6798f5f73abb928033821cae"",""6798f7e49981b29b293b8475"",""6798fa4b66e76ecb19f6c6ca"",""6798fadb016da509340738e5"",""6798fb0a4b4f21d5ea0da0c2"",""68d55d9d33046323d15b7c1a"",""699881fdd0665d05ef53b75f"",""6a1d6a73750a0d73371651eb""]","Découvrez les actualités sur les accidents de la vie courante avec le Cabinet Julien Plouton à Bordeaux. Suivez nos analyses sur l’indemnisation des victimes, qu’il s’agisse d’accidents domestiques, sportifs ou en loisirs. Retrouvez des conseils juridiques pour obtenir réparation, même sans tiers responsable, et explorez les démarches pour maximiser vos droits grâce aux garanties ""Accidents de la Vie"". Protégez vos droits et ceux de vos proches.","6798d14a003803362e6d9e15","Accidents de la vie courante",,"accidents-de-la-vie-courante","/categories/accidents-de-la-vie-courante","https://static.wixstatic.com/media/d05c9e_20a0374d917c43eaa27e9190f9285120~mv2.jpg","fr"
121,"/blog/categories/droit-pénal","[""676aaeaf17f7670b0f7e8f14"",""6798c5824b4f21d5ea0cfe82"",""6798c5974b4f21d5ea0cfecc"",""6798c5f49981b29b293aed63"",""6798ccfd016da5093406ace9"",""6798d1624b4f21d5ea0d22bd"",""6798d5fb66e76ecb19f6590a"",""6798d62166e76ecb19f65968"",""6798dd6f66e76ecb19f66ec3"",""6798df6d9981b29b293b3b5c"",""6798dfce66e76ecb19f6766e"",""6798dfff66e76ecb19f6770b"",""6798e12b66e76ecb19f67af9"",""6798e1492542160d5aa5eb80"",""6798e3a21858854750655dee"",""6798e7969981b29b293b5385"",""6798e7de66e76ecb19f68e2b"",""6798e8d62542160d5aa601ef"",""6798e8da016da509340702dc"",""6798e8ed2542160d5aa6023b"",""6798e9459981b29b293b5974"",""6798e9953abb92803381f7b4"",""6798ed772542160d5aa6108f"",""6798edc02542160d5aa61174"",""6798edde016da509340712ff"",""6798ede89981b29b293b67ab"",""6798ee32016da50934071422"",""6798f20f66e76ecb19f6aea0"",""6798f22266e76ecb19f6aece"",""6798f246016da50934072046"",""6798f2584b4f21d5ea0d87cd"",""6798f2824b4f21d5ea0d883f"",""6798f2b266e76ecb19f6b07a"",""6798f2bd016da50934072199"",""6798f47f9981b29b293b7aa8"",""6798f5153abb9280338219d8"",""6798f5209981b29b293b7c78"",""6798f5242542160d5aa62763"",""6798f52c9981b29b293b7ca0"",""6798f5352542160d5aa627a1"",""6798f53f3abb928033821a5e"",""6798f5432542160d5aa627cd"",""6798f5a02542160d5aa62926"",""6798f5d66c6675f2ec0def06"",""6798f5e966e76ecb19f6b9d3"",""6798f6002542160d5aa62a6b"",""6798f60dc85f5c1f20f68ff4"",""6798f61c9981b29b293b7f9e"",""6798f6a6016da50934072cc4"",""6798f6e73abb928033821f5e"",""6798f6ec3abb928033821f6e"",""6798f736f1a734666cb5bf94"",""6798f738c85f5c1f20f69344"",""6798f7d66c6675f2ec0df4d4"",""6798f7db4b4f21d5ea0d977b"",""6798f8609981b29b293b861b"",""6798f8642542160d5aa6316a"",""6798f8672542160d5aa63174"",""6798f86b9981b29b293b8636"",""6798f86d016da5093407321a"",""6798f9224b4f21d5ea0d9bb3"",""6798f96e016da5093407352e"",""6798f9792542160d5aa6351a"",""6798f9863abb928033822755"",""6798f9bfc85f5c1f20f69aba"",""6798f9c66c6675f2ec0dfadf"",""6798f9c93abb928033822803"",""6798f9e34b4f21d5ea0d9db8"",""6798f9e44b4f21d5ea0d9dbb"",""6798fa0c3abb9280338228b6"",""6798fa114b4f21d5ea0d9e33"",""6798fa2766e76ecb19f6c664"",""6798fa379981b29b293b8b3b"",""6798fa50c85f5c1f20f69c5b"",""6798fae6ad3ab036f477e65e"",""6798fae6cf95919a363fb5e7"",""6798faf86c6675f2ec0dfdfe"",""6798fb23c85f5c1f20f69e96"",""67ea4899f96b48cc2d228e70"",""67f6339baaf502ad8a97064d"",""67f74b9cb789c928e0464fb7"",""67faced06eaf2756d731a4c2"",""67fd1e16c9ecd4484144388c"",""6819f9dc0ac880cb16642f25"",""681a17c3063de19bc6c22dc3"",""682b319e822561337526e7b7"",""6853bc7ba3f6bfa226198276"",""686d159646cb57c6c18c0bda"",""68760094f9d5786c5f44e7a7"",""68769e7a32c2554b5324c03d"",""68bf15889bbd3d7fc2892a7b"",""68c2c361f8374b5222ffe579"",""68d0f37a1eeb6329b1dec37d"",""68d561182bd26b8965d744fd"",""68dede2a011b75dd1ce0f414"",""68dee76eb64591934f024578"",""68def0a43d4aa73574efeda2"",""68def317011b75dd1ce1229a"",""691d8fbcf554707bcb4286b9"",""691dc3d806e23672aa37e36c"",""691ddf11d3b811120f4492d7"",""6929e448d73b496b537e6942"",""692da4edbdf3aa731710337a"",""694bf152922cfc95692f5fae"",""694bf4377b5d4818ec465a8a"",""6962845e235749548015893e"",""6970a11154e2da65624a23e7"",""6970a238144d5c2963be064b"",""698d98ab552ae68ac3dcc763"",""69934698cf429c4fcb4c7d66"",""699499d0159d7fac9644c0ce"",""6995a3da48e1ffd8ef79a2ef"",""6995fb2af797687350e61ec9"",""69aed632de5ad9153e0aecf7"",""69cbc0d66eb823cd3ba49b84"",""6a058a88984b40cafc26d9d9"",""6a0c29ba2fd8b3b6969885b5"",""6a296e8cf8e7e84c72bf92a1"",""6a3ac1ae913712517a34a147"",""6a3aca54c4b4b7e8f5617371"",""6a46a0521552bc17797fb6be""]","Découvrez l’actualité en droit pénal avec le Cabinet Julien Plouton, avocat à Bordeaux. Accédez à des articles sur les procès marquants, comptes-rendus d’audience et jugements où le cabinet est intervenu. Retrouvez également nos interventions médiatiques et analyses de jurisprudences récentes. Plongez au cœur de dossiers pénaux complexes et informez-vous sur les enjeux et évolutions de ce domaine crucial pour la défense des droits.","6798d1194011366b8aea5eec","Droit Pénal","c69341c5-296a-43f6-9f13-7a83c72784e6","droit-pénal","/categories/droit-pénal","https://static.wixstatic.com/media/d05c9e_587742c02c0244b1ae10520f29e85b3f~mv2.jpg","fr"
18,"/blog/categories/droit-et-accidents-du-travail","[""676aaeaf17f7670b0f7e8f14"",""6798c53866e76ecb19f62525"",""6798c5e14b4f21d5ea0cff9a"",""6798c5f04b4f21d5ea0cffce"",""6798d74d9981b29b293b2310"",""6798dd892542160d5aa5df1c"",""6798e5421858854750656086"",""6798ee089981b29b293b680e"",""6798ee729981b29b293b6965"",""6798f29b016da50934072140"",""6798f3ddf1a734666cb5b605"",""6798f53166e76ecb19f6b790"",""6798f78bc85f5c1f20f69425"",""6798f826c85f5c1f20f69605"",""6798f91066e76ecb19f6c36c"",""6798f9c04b4f21d5ea0d9d50"",""67f4ea0c2dbeaa202d71aba0"",""691dc3d806e23672aa37e36c""]","Explorez les actualités en droit et accident du travail avec le Cabinet Julien Plouton à Bordeaux. Retrouvez comptes-rendus de procès, analyses d’affaires médiatisées et articles sur les démarches pour reconnaître la faute inexcusable de l’employeur ou obtenir une indemnisation complète. Nos publications mettent en lumière les enjeux des contentieux sociaux, des accidents du travail aux litiges pour harcèlement ou rupture de contrat.","6798cf634011366b8aea5eb7","Droit et accidents du travail",,"droit-et-accidents-du-travail","/categories/droit-et-accidents-du-travail","https://static.wixstatic.com/media/d05c9e_f6a70afc31e44895905c45568850bf0d~mv2.jpg","fr"
